"sku","cost","Edmonton"
3zgjy5zb7n,9954,47
3lar4mkrze,794,4
ek8rdlr9re,7376,1
3zdgjg62jn,36608,7
3o2859g7gn,11466,50
3xrbl888d3,1279,20
nbk7xzvb2n,2335,4
346ozz2dkn,6765,14
nm2amyrq93,3930,4
38276pj5j3,1506,13
nbmq98r6me,7131,7
ngvgld56pn,7389,16
3j8wrzyqxe,5240,25
3obypkz8gn,925,3
38v6264y5n,7303,50
nykd44wyg3,4112,4
3ozodkgokn,47968,2
3zzrovgz63,40097,3
nv929xmqbe,36092,5
395zjpr2dn,18828,8
qnvj8x9lxn,7150,50
3lapjmldde,58375,5
3zd5ml658n,94,50
3oyqrgv9ze,1062,14
ekq7r7x7re,4013,15
3zzkzaxa43,6192,47
nyddl9zzzn,3566,3
3ooqamr8z3,10506,7
3w4x2w4zzn,27984,6
e5pypy2qb3,1849,4
nmmlg5dmdn,47638,1
nvow4j562e,12390,9
3jxzzbzpon,9041,2
3xrkogjrl3,5885,5
36y5k6mpje,5494,8
3wvxlzj9yn,1175,28
3j6g9jokpn,2088,5
nqp8pp92ze,25791,2
nq8qg5b6mn,57082,20
3469499q4n,81300,5
368x6zr2on,5941,1
3zlx5d2q4e,25531,1
3p2mbab69e,2746,1
3plb8y4zkn,6525,9
3loyq6oab3,296,13
3o84omwjzn,14184,5
366mdl69o3,20176,1
z376qwrk9n,44806,14
36p28b9vke,158,50
ek7bxw5y23,39838,5
39w5j794dn,1078,3
e5bp6wzzge,7451,1
34k594myje,7131,1
nb8va5692n,366,2
362oypadjn,1551,18
34p7gmodk3,13120,4
3al7ldrv8n,4740,2
ekyzwqog23,636,8
3ax8x566vn,7342,5
3zdllj9q4n,45442,10
38wvyjzvj3,17901,5
369zbw4do3,4136,3
3lml8dqdze,10160,21
4e5pw8rrr3,6774,2
nyr9vdpjye,7561,1
nqz99jdwzn,106981,1
ng89l92zb3,972,2
nmkxabz8x3,12125,6
ngbzqbd7z3,5921,50
3wow8kwjxe,14434,1
edkzaolxdn,49197,28
ekz247o64e,11407,3
39jmgdgmde,4317,7
3pkmwbro9e,9101,21
nydz5o64zn,5322,7
3okg4aopkn,228,50
3j857mjjoe,10380,3
3xvgojllle,849,50
ek9jo9a8rn,29265,50
wnmzrvlj34,5852,50
pedd2r472e,1920,17
3zko6vlr73,41098,2
nvpmm8vojn,49457,3
369292woo3,18850,39
37xpardbxn,35800,5
nvbqmg5yq3,6192,50
ekbzzzz4de,63099,5
4e565q5qgn,17481,17
e2ovy2y86n,5052,19
ery7l78v9n,9954,50
ngb6l887p3,25831,3
nvvv424dpn,8222,12
36p7qz4moe,5703,7
ny447d6kgn,38634,1
3wq24g2ax3,46568,5
382lyl2v43,29117,6
j3j7am9763,347,3
38d5ywaq4n,4273,17
nglrwky8re,12508,5
