"sku","cost_price","Edmonton"
z376wkawpn,4899,0
39lryz9qg3,3202,7
ek984r6pdn,3396,3
34kx7k5wje,6012,1
nb6ply4ya3,14204,1
nvomrgzype,8908,1
37549jy89e,1648,0
ng64y79bze,1400,0
rnq5prqzon,2946,3
3622vbmlkn,305,12
39z99mm5pn,7720,1
e5bvr96woe,2027,0
345vq4jqke,15652,1
erdkm7objn,3777,2
nmq9poro93,694,1
e225yo9l6e,1077,12
nqlyr5a6z3,1675,4
er2vjyg773,3882,0
ngqpoo7qa3,3750,1
ek7kkkm5g3,1387,0
3jzwp2kqpe,795,1
3zdvgxzz4n,5787,2
l34gj9vwk3,6800,1
nmq46orpx3,3532,9
nm2b5mard3,1821,0
e2jwklk8d3,6848,2
edzlmvdqzn,2844,2
83wgmwwgmn,1652,2
nyddr9l5yn,174,8
nykvd6x5d3,30253,1
nb7dqvvg9e,10062,1
3pq5zxvgbe,1503,19
3w4dp449qn,3953,2
ng9qrdxqze,2728,0
3pkomklxke,827,3
37bayjl4je,340,0
e5p479bqo3,1511,0
l34a7r58p3,774,2
3zgpbd7xwn,4737,1
ekbaq5a42e,50641,0
z378ld85we,4109,1
3wvgjpkwzn,10730,5
erb8v7vx73,5207,0
38m4xvl8jn,903,5
ngb9wmjxz3,1552,3
nvbgd7lkb3,12600,26
edzpwlr9wn,6943,0
38zvwmyvd3,4131,2
edyga75l4e,2159,3
nm2zb5z5d3,2036,0
3lrmyb5po3,23930,2
eko74x4drn,3262,0
e2dmmgaqa3,4060,17
ekz7blwkge,2656,2
nvzj4z6xj3,175,12
9ekqr72wde,2358,0
3wvgmg2pqn,3140,4
36vvm9a2xe,4851,1
erg46odzln,6143,2
nqqjop7lmn,1661,0
nqqqxk6von,3710,0
nqaokdrvke,912,1
e52d6mbore,681,4
3j2xpj67we,22170,1
3oomxbggg3,35151,0
3z7prwv97n,2687,1
3798g5pq9n,7076,3
37bkjlq89e,4238,2
39wyo4kdgn,5613,0
ng677kgxae,5222,2
83z4bpxm4n,1077,20
3pyl4ky6z3,39593,1
nvp252qzqn,5013,0
nqzvkxv8mn,1477,1
eko2pwmygn,1298,1
ng6vdbgbpe,20927,0
38j86by55n,11838,0
3l72gdm2be,1436,4
nq2pdgxbzn,4261,8
3oo9mzzay3,27554,1
39x7ladwy3,1263,20
nqaqar496e,2138,7
ngaar4ygan,20515,1
o3ppjv9dg3,5410,2
erqokwbjl3,432,210
3lx962k5y3,5520,0
e2vbajk6k3,324,2
edxblwxb43,8704,2
nmkkzpb4v3,7150,0
nmmm5xwrjn,4985,2
xerw76bg83,2350,1
3jrdb9kvpn,877,0
34k5dzvwpe,6066,1
83wkkd44m3,1014,12
365yrz44jn,3359,0
3l7pvvm9be,8628,2
3ax9oaq4mn,64171,1
ekq2k5mxre,7787,1
nvogp2z7pe,14026,2
e5gb744q43,1177,1
nyxywj4gye,2256,4
nygqgqvazn,3208,1
38v7v6b54n,7549,0
3p746g7wk3,4004,3
x366dzkxk3,5554,4
nmovmwrgxe,3371,9
37ayo4bmx3,1842,2
nbabqzvdae,1021,0
nb7dzglw9e,4670,0
eraxbyrzjn,146,45
nyq4bg7gl3,756,0
e2awkkrxk3,2860,3
m39kg9adnw,18260,0
edz882o5wn,2407,2
362yxzjjjn,2887,1
3462vblk4n,2035,1
er2gw5mk53,1663,0
3jq2l6wq6e,3398,7
nql89k4do3,365,1
3w4pk56zxn,4775,0
nvyoov9rpn,122,95
3ayvab2a83,1044,2
nvr5lw7xbe,3154,1
364rbq499e,2398,0
nbmkl4q69e,14781,1
3j7z5wxww3,1042,22
x36zvw428n,642,0
3zpxyljajn,4932,0
34pav6j4y3,1122,1
e5vmox2xo3,1621,15
3azmqj2ove,347,1
ed7o7ljw4e,231,0
3wkl55vzy3,1259,6
edx26dm5z3,559,39
36y9lk66xe,27471,0
nbay57ajxe,2960,0
34xyjdovkn,2845,0
3ax57pd8vn,7889,1
era945jb7n,11733,15
394gvy4ppe,654,0
83z8oap773,738,0
39z2qlb87n,8683,0
3jxgrr8don,1191,2
39r6kvrl73,9479,2
36vj8xzmoe,6604,1
nq2xwl48wn,2376,0
nb4ol8pm9e,1104,2
ergavrxyln,14955,14
374xpj4r93,12649,0
ngvx8pmyvn,3561,0
eddowmazze,2240,2
o3p9pqkakn,831,0
nyxzokyzye,288,5
ngbqaldqb3,9837,1
pedozyr436,443,2
34jvoxj443,767,1
er2olgq953,12000,1
3682k6v4xn,8017,4
37m7k8dqj3,1132,0
3jmq774kx3,9014,0
3zzk5o48j3,5730,1
ek9622mgdn,3755,0
83w9zokrme,95,23
nvrpgd7jpe,3285,1
37vj795wx3,12578,2
3lrjrjkdy3,2161,2
ekqyqqoo2e,10233,4
34b8wgmxje,4307,0
ek49qapad3,379,5
e57g8k46o3,478,0
ekz88x8p4e,6309,0
3l28gdmkon,21595,0
e5zzg4q84e,5576,7
e5p467w2r3,821,0
nm49586kxn,13662,1
eko6apoagn,2613,5
3or2o4y893,2148,0
3lo5azvvy3,19396,1
3jqwy6xl6e,3910,5
nmr8gzayde,1344,3
ek7rxxbq23,1259,3
nmojl8a5je,4671,2
g38jmzk8dn,4661,2
erb7k7zzj3,1238,0
37madpoyj3,11319,1
