"sku","cost_price","Montreal"
3z7prwv97n,2687,0
3798g5pq9n,7076,0
37bkjlq89e,4238,6
39wyo4kdgn,5613,1
ng677kgxae,5222,0
83z4bpxm4n,1077,0
3pyl4ky6z3,39593,0
nvp252qzqn,5013,1
nqzvkxv8mn,1477,4
eko2pwmygn,1298,2
ng6vdbgbpe,20927,1
38j86by55n,11838,1
3l72gdm2be,1436,0
nq2pdgxbzn,4261,5
3oo9mzzay3,27554,0
39x7ladwy3,1263,23
nqaqar496e,2138,2
ngaar4ygan,20515,1
o3ppjv9dg3,5410,6
erqokwbjl3,432,130
3lx962k5y3,5520,0
e2vbajk6k3,324,2
edxblwxb43,8704,0
nmkkzpb4v3,7150,2
nmmm5xwrjn,4985,5
xerw76bg83,2350,0
3jrdb9kvpn,877,3
34k5dzvwpe,6066,1
83wkkd44m3,1014,16
365yrz44jn,3359,3
3l7pvvm9be,8628,0
3ax9oaq4mn,64171,1
ekq2k5mxre,7787,20
nvogp2z7pe,14026,17
e5gb744q43,1177,0
nyxywj4gye,2256,6
nygqgqvazn,3208,6
38v7v6b54n,7549,0
3p746g7wk3,4004,1
x366dzkxk3,5554,0
nmovmwrgxe,3371,0
37ayo4bmx3,1842,0
nbabqzvdae,1021,1
nb7dzglw9e,4670,2
eraxbyrzjn,146,34
nyq4bg7gl3,756,0
e2awkkrxk3,2860,6
m39kg9adnw,18260,1
edz882o5wn,2407,1
362yxzjjjn,2887,1
3462vblk4n,2035,12
er2gw5mk53,1663,20
3jq2l6wq6e,3398,1
nql89k4do3,365,0
3w4pk56zxn,4775,1
nvyoov9rpn,122,7
3ayvab2a83,1044,0
nvr5lw7xbe,3154,0
364rbq499e,2398,29
nbmkl4q69e,14781,0
3j7z5wxww3,1042,9
x36zvw428n,642,3
3zpxyljajn,4932,5
34pav6j4y3,1122,1
e5vmox2xo3,1621,4
3azmqj2ove,347,35
ed7o7ljw4e,231,2
3wkl55vzy3,1259,10
edx26dm5z3,559,33
36y9lk66xe,27471,1
nbay57ajxe,2960,0
34xyjdovkn,2845,3
3ax57pd8vn,7889,0
era945jb7n,11733,6
394gvy4ppe,654,1
83z8oap773,738,0
39z2qlb87n,8683,1
3jxgrr8don,1191,0
39r6kvrl73,9479,0
36vj8xzmoe,6604,0
nq2xwl48wn,2376,0
nb4ol8pm9e,1104,2
ergavrxyln,14955,2
374xpj4r93,12649,0
ngvx8pmyvn,3561,0
eddowmazze,2240,1
o3p9pqkakn,831,1
nyxzokyzye,288,0
ngbqaldqb3,9837,0
pedozyr436,443,1
34jvoxj443,767,18
er2olgq953,12000,0
3682k6v4xn,8017,8
37m7k8dqj3,1132,1
3jmq774kx3,9014,2
3zzk5o48j3,5730,0
ek9622mgdn,3755,0
83w9zokrme,95,8
nvrpgd7jpe,3285,1
37vj795wx3,12578,1
3lrjrjkdy3,2161,2
ekqyqqoo2e,10233,0
34b8wgmxje,4307,1
ek49qapad3,379,0
e57g8k46o3,478,1
ekz88x8p4e,6309,0
3l28gdmkon,21595,2
e5zzg4q84e,5576,2
e5p467w2r3,821,0
nm49586kxn,13662,0
eko6apoagn,2613,10
3or2o4y893,2148,2
3lo5azvvy3,19396,0
3jqwy6xl6e,3910,2
nmr8gzayde,1344,1
ek7rxxbq23,1259,9
nmojl8a5je,4671,2
g38jmzk8dn,4661,2
erb7k7zzj3,1238,9
37madpoyj3,11319,1
3lxy26pa73,7238,2
3pybgwkrb3,2517,1
nvk97yzxj3,10399,0
nmkxyd6md3,6413,2
ng96v55oze,3832,1
er5qb8pj73,232,4
3ayxvdpom3,17430,1
nm2pdza8d3,625,0
38wxkg8qp3,5682,3
367mwv6qoe,3592,5
394yx498pe,6619,0
ek8goy2r2e,3682,1
3aqpllr28e,4234,0
x366g7rg83,1528,14
ng85y6w8r3,34408,1
37ryj8g8xn,7795,0
nqq57m9pkn,640,1
nvk28vjap3,10696,0
3698lw87x3,791,3
3w4w2l8jmn,631,45
3j786qlmx3,723,1
nyky9waoy3,2451,1
3pxbwq27bn,13947,4
ekqjlqkl5e,9779,1
3676kpkg9e,21767,0
nvpp9v492n,3054,1
3jm9plq2w3,7474,0
3ayprjvzb3,1791,1
3p2vmd4pbe,5478,1
ngazw8rapn,11487,0
3jvj2oawx3,5031,0
3a8zqvxdme,4027,0
83wx2mllye,842,13
e5ldkmj2on,8607,0
39gad7ywye,201,5
erax86pj8n,135,0
3l2jqdxl7n,4781,5
ergwvb455n,3081,0
362477rz8n,1503,1
39lgywjp73,2616,1
nqal4ok6we,20065,1
3jx5ar8pon,4430,1
3wv8a2arqn,1457,0
nyx7bzjyle,4265,2
ekobr8yk4n,10491,0
er4dxx4d7n,16015,1
4e5dk8dlr3,14804,0
3wl6y65oye,7063,3
ng966ywmbe,1942,4
edgv98zwze,8003,1
3jzzq9rvpe,2823,12
4e5rwgg4nr,4738,2
nqa2ldgxke,9365,0
3pyo9mgjg3,2081,1
3948om5oge,2974,2
3wojq6jjxe,3678,1
erg9vxpo5n,2256,0
e5959vx4bn,8001,1
e55gbxpj4e,5038,0
3a9rq4x6bn,3762,0
e5lrvz2rrn,874,0
3pm5bmq9b3,1359,0
ek2zx9dd2e,6438,1
3lxdzjwlo3,7041,5
3pkrqq9xke,1180,1
nvz75zklp3,3108,2
ny48ddaodn,2209,5
39xmvadpy3,18000,0
er468dqljn,6654,0
3pkv6x99be,8015,0
edgxb4lqwe,11249,1
3plkazdzbn,5865,0
nm8bw5okx3,5304,0
j3jx2j7wxn,11771,0
nbkajo899n,1830,4
3957ao9wyn,7869,1
3xv7b4o2ke,7009,0
qnvmwpqo2n,8955,4
erd7a2825n,4363,4
3pkv2zyage,192,1
3al62oba7n,10853,2
364qyvbpke,557,4
ngvv7pyvzn,25,30
rnqxvxk4o3,1651,3
3obkll9a6n,13799,0
wnmbx8x9k3,1557,1
nql7vk47w3,2074,10
36pmx4og8e,746,6
nb4x2mjv9e,2613,1
ek9rmj2drn,2366,1
nm97lgjyje,5409,0
37ammaaq93,2945,0
34k2w9da4e,1271,7
3zw247yb43,1788,0
nmkojxayd3,16840,0
39zq524wyn,1909,28
3jz9ww9dxe,5024,1
nby9pl67me,6094,1
nqlp2mzkm3,5288,10
3pq28o6dbe,1830,0
nby4zp7l9e,2339,4
o3pgroqyb3,26348,0
e259wzo9ae,3403,0
nv4ll7lzjn,25970,1
nm9zkzoxxe,7876,2
ery7wyom9n,35,10
e57m49wlr3,9373,0
z3775lvzx3,1786,3
3aq5w2jrme,2807,22
ek8779rjde,875,4
34b7lp88ke,4473,1
36yo7gm7xe,759,0
83wxb56mxe,4236,0
nmow2vyxke,7423,1
3l8998zoyn,2628,10
3j2obrvdxe,3339,2
345a96g2me,944,2
e5pjbrvdg3,8901,0
ekzrmygoge,777,2
3zlob7qg4e,12404,1
nbvym48pme,1279,5
nvpm46mvbn,746,3
eryry6rbln,17049,0
nvo4jbx22e,3824,0
38vgjmlxon,1153,5
3jzgygqyoe,3774,2
nvpv6q5rjn,5046,25
4ng4mo4ran,1799,2
3jvjlarb63,29070,0
39x8j62ld3,8299,1
3p2arok49e,2285,5
394r4w7bye,3465,2
e2o4vlrxan,1439,1
3aq8zxvzme,12320,1
rnqddb78ke,3576,0
3az655rbbe,201,0
nmq8oqgqx3,2348,4
3j6vmd42on,7460,0
39jb24r2ge,526,2
3zglw8a9jn,1872,0
ek4m8qgyr3,17527,2
nmogx4dxxe,1244,1
edk95yygzn,32807,0
382q7ga6p3,9384,15
3px5bwojkn,6928,2
3ozbw7llkn,6807,12
3oogmz8d93,389,170
nbo9j2oya3,3968,1
3za484wmjn,1868,30
edg2g2jv4e,692,0
3xy82pgo4e,26967,0
3jlrab5axn,2700,2
3wqzwwxmq3,7261,0
38xpmqzbje,11343,1
34p8rgzpk3,669,1
3l7kzo9aye,821,0
3956qm6pbn,588,1
nbvygo6dye,3522,0
qe2g9gmy63,577,5
g38x92r25e,3809,5
34p6ymgq43,1408,0
83z48qg7jn,692,0
wnm6vwa7ke,59669,1
ny7x6qmdln,10478,2
3zlkm59lwe,612,1
e2jlvy9zj3,3980,0
3672zjorje,25385,1
edzrypmlwn,6015,2
nb6rlq4w23,3340,1
394977gkge,1699,1
o3p4lo7q93,926,1
3aroq5da7n,1932,0
e576jz6lg3,5639,1
39gpaavm7e,13478,0
nb8vzplbyn,603,5
e2559dowje,4440,1
ng8paazqa3,300,5
36ovvabb83,1124,0
nq2pgmlb6n,2322,4
37xqklozpn,21860,1
erbaqpdz73,3522,2
3l689q8bz3,6013,6
3wvq9gjbqn,4629,3
374wwl9vj3,2232,1
367vvdywke,3442,1
3arbwxjr7n,6042,0
3ob4mkxzgn,2370,0
e25g7d82ke,4808,0
3xzg85264n,812,4
4ng4gxgxpn,42079,0
38wlw47op3,5649,29
l34j2rw6y3,1124,0
nm2wo9kjk3,6993,0
erg9kbrgln,860,0
3xrko5lgp3,3192,2
erqvobrl83,3527,0
38zjlplk53,2209,2
er5kxzr4l3,941,31
4ngymq7rbn,1263,1
3zxo4w2y6e,1885,1
38kv8lo9j3,2202,5
ek45p27d23,1193,1
3orx5zjv63,23040,1
ped4a44mde,929,0
9ekj955q23,1648,0
372b5vkr9e,4366,0
3l6qb4mrd3,2226,12
edylm7zpze,6632,2
e5gkkq72r3,24188,1
