"sku","cost","Montreal"
ny4m2wl4ln,2631,3
3wka2y7vz3,158,50
3zgkov4x8n,6069,23
nbyxgb5gae,15783,0
3p258bp79e,113,8
3wv6lyw2mn,61831,3
3pq9wm4y9e,2832,0
3pl9xbrbkn,3636,2
3pazmk4gk3,7868,0
3zrxmxvm6e,13425,3
er6rjkly7e,30873,1
4e59xx7w9n,7637,0
er7dyzav8n,17492,1
3or7dwb6y3,63099,1
er2xb86p83,43830,9
2ny5mxa8d3,33181,3
z37b4xxave,37872,47
3pqmb4arze,2318,50
ng8ow4rqa3,36517,2
erdlwwl45n,34357,4
23lplyxaze,27982,2
nmo4pw9yxe,143,16
nyy52bwxgn,313,5
nm9v7pxk9e,25311,2
nq84y96jon,627,50
3jlrwb8ypn,244,27
3ww4qmlmq3,3048,8
ny7lqmmldn,7779,0
39lwp4yad3,8773,2
3a7bd894d3,4824,1
365p4d4jkn,11470,1
er76oya77n,1037,3
ekgvap9953,19236,2
e5m6xqx8b3,60469,2
nbvqj4y9xe,4243,26
3wxqw658be,9794,3
3l2kwy46dn,9913,3
x3a4qd6273,7637,1
ngvqr6zbzn,18285,3
nvryvyoqje,26426,2
nql8gw9km3,6277,48
3zap58ry6n,12980,6
e2dkx6qb73,44605,4
38wyqov7d3,7779,4
ny75b465ln,1995,11
nbv6rpqlxe,5940,1
ery82loqjn,4776,4
3wqx62qjz3,7130,13
3xzq5opopn,8778,1
3olj6aj8g3,104,50
e2mlwrrwa3,59096,2
3xxqob2xp3,256,18
38m7xxmjpn,12630,5
ny7kb2789n,74173,0
3lo6yxx2z3,45445,2
3jvw86b8w3,200554,5
er77jjl48n,933,1
ekzk4obz4e,2416,3
nbyym7ojye,17259,2
e2dmkkwad3,1073,5
38xa4gvvoe,4080,1
3aykw2abm3,10160,0
nqdzzpzj6e,9642,0
ek9pgqqdgn,10506,4
nyybd5dkln,2299,2
36v9rgkk8e,551,8
36ykrql59e,11256,1
37xmrzrbjn,3781,1
nq6wvldgw3,8708,5
j3jrm4l4xn,41215,16
x3ak4ymp8e,2466,6
3ozrrplbgn,8099,10
3ard4wrbmn,9342,5
nmo8pmkvve,24582,0
e24zd5my73,10183,1
nb68oyrrx3,3532,1
3zr4rorjje,901,13
ek94lx754n,1351,4
erqjg4j773,3012,13
m39rz677y3,6319,0
nm9bjlqjve,6277,3
372maakgxe,7450,11
37rl966bvn,31903,1
372954jpve,3257,1
39zmyvy7yn,6390,5
369pvgbv93,172,37
3padwl95z3,7474,4
nmrgyxb4je,190,29
nbvrxkvkye,13603,1
3jx9vz6o9n,52309,3
3okqvrbjgn,1857,2
388m7zpzd3,27837,5
3xlj8k24d3,2859,1
er7z6oqq5n,37610,2
edkpyxor2n,1024,1
3lmqqx8rde,10405,50
edkm5brj4n,11953,7
3axw286bvn,125,5
nyqrqxyl93,4211,9
ekqok6p72e,14141,4
3lm9lk45be,6615,1
369rqwgj83,29935,1
39wx9jwo7n,9779,1
nm8mbg6pv3,2543,0
nqpj2o7wwe,1412,1
3zzak5qwj3,22167,0
e5mlvm62b3,1568,12
nq2w8lqy6n,7779,50
e5lyvoglgn,73089,4
nmrb65jove,7868,3
nyrgkkbbde,3922,0
3664a5wd93,222,0
3w79b9jybn,4615,6
34jbb2zvk3,8491,0
e52ayg6rge,2710,7
3647jrqx9e,4938,0
m3965zmo73,1114,38
3zp6l4757n,13456,2
nvk4qg5dx3,748,19
nq2omxrxon,2731,5
3zr9blrpwe,6192,11
38jyxa9jdn,579,19
nqazbpazke,7994,2
nqpkkd64ze,9222,5
3axx8pqvbn,9419,7
4e55j55bbe,8222,19
edpm2rz72e,1443,9
3aq8bj288e,6315,2
e5v8yzg6r3,28541,3
qe2qj5paje,3881,3
nvv7xx4rxn,55123,0
ek8dool22e,5287,2
e5po7y6dr3,1786,2
nyqzoyl4z3,48401,0
g38rmb2b5e,5540,1
ekokmdbwgn,14378,2
3wx49varze,30901,5
ek4v2ovv23,9629,1
