"sku","cost_price","halifax"
e5ld9lb49n,4275,2
3o89zm6pkn,1151,12
e2aj9gq573,11011,2
z37v2o95p3,13695,0
37xg72rjjn,7314,1
2nymd7m4gn,3526,0
e2gw7rgdj3,1483,1
nmk85pb5x3,8960,0
nbmwmb6aye,592,1
nv4w7ov6xn,1004,0
ek8r2bb82e,823,0
3z7qlbvv7n,1990,2
365jbr7r8n,2981,1
3lo59w86d3,1488,1
36pkaw7gke,4573,5
e2d68b9y73,927,3
39j9gggbpe,6060,0
3lo8jj42z3,239,0
nq8d6lp8mn,14140,0
er7dyzav8n,19153,2
73obl8556n,1544,0
3oljv27gk3,41173,2
edzb2jv7gn,7656,1
34jlwl5am3,30050,1
nvqb7rbwb3,191,49
erdwbayk5n,1746,0
er5vj7pm83,7562,2
3xop2pyw43,2628,16
nyykm7bqzn,5589,1
nyrmpw7ade,8483,1
er62q86j8e,6634,1
x3alx5ybnr,5280,2
3l2dzvw67n,808,0
3oo2qgzgy3,2141,0
3jr8vko69n,7658,0
nbkx8y7qxn,5875,11
ekzgykkd2e,5324,0
38dvbxxgjn,1216,0
wnb2da9y2n,1620,8
3jqv29zb6e,3244,0
nvvzk984xn,6453,0
j3jdm5jv63,37297,0
nqzaxdpxzn,5664,3
nyyla6doln,3295,2
3pgoxjzgz3,258,6
nmkryww2x3,1408,8
nyd98wwazn,2154,2
3wwjwpxrb3,7483,1
3x677pxwx3,4288,0
nq24pvl76n,409,1
ng8zvo7av3,821,2
eddqb6892e,1053,2
3wwkgrpdy3,8236,3
nb6kwlrom3,2040,1
e55xdbypre,1341,0
3p284r5bbe,700,3
3z7xj2dp8n,32395,0
e52lyg97ge,1544,2
3pyjwl7v93,1659,2
edo68kvyz3,1209,0
3alwkzvzdn,6640,0
nyxa6w2kge,968,3
nqpkj5a7ze,6734,1
wnbmrdbxme,5039,0
x3ar9jgqmn,5483,2
edg94by64e,14374,0
37xxvg79pn,588,1
nbaykg7o2e,16941,0
9ek2paogge,3027,2
34x4zjmmkn,18034,1
ngodap4bve,450,45
nba68rxa2e,2036,2
37rvqkj9vn,271,0
3xrrr72kd3,14500,0
3zx7go794e,1703,2
nb8rqpd5xn,1339,2
eko4d85j2n,27272,0
3obg8gylkn,3402,0
ergv75moln,4406,8
3jvwl7vg93,646,12
nq228o6m6n,6479,2
er5wwxxlj3,7596,0
3xol6aqa43,15688,1
e5v77k2ar3,6992,1
e2bvrgqpde,2035,5
ekbb8md5ge,12405,0
3wqvb954z3,48124,0
e5lvrzp2rn,1444,0
edzwkog52n,7849,1
3j8xo5po6e,1028,2
38maxlm2dn,885,0
nm9o5wy9ve,14689,3
3o4ovvooke,15258,4
nykl7v68z3,4917,0
3727l5bjje,1940,4
nqzzmrw8zn,402,0
73o9kvyak3,11934,2
eddl549q2e,4182,0
38m562paon,3293,1
3o48bqxw9e,4401,1
e5zjjpa7ge,1871,2
qnvaal58qn,6153,0
3zkgpqx263,1611,0
346yjjwoyn,7305,0
er55d4lp73,42985,1
3zwwg2mo73,615,0
e2gg2g9m73,2499,0
3xqb5v2q4n,1798,1
nya7bl79dn,2903,0
nv9g465x2e,16293,1
37al6zmgv3,3728,1
3jv4lyao93,13074,1
9ekj5xq843,1013,216
nyq52kvpg3,18703,0
3xqm7opadn,6492,4
3j6wol7bon,1733,6
37vz7gqzj3,2295,2
nb8lobbdan,368,2
3jxm2g6jwn,9438,0
38kyjl8qp3,1096,0
39bvgp5qbn,17510,0
3xlmxmj8d3,2484,0
3l6gwaply3,6368,2
345dqo9k4e,3242,0
edoybrkw23,16610,1
3p2y92pvke,3278,2
ng8yqmmwr3,3427,0
qe285wpo7e,218,1
wnbbj2mxyn,7576,3
nmoxl266xe,2956,0
36yba88r9e,17885,1
er5gx2x773,24363,0
ek7d9lxb43,130,5
pedgm8k6ze,11227,0
nmomy2b7xe,4352,1
3j2bayyj9e,95,0
ek26j5agre,6425,0
nya9v9r6zn,1558,0
rnqxb5y4z3,6240,3
36pgbb8xje,2739,0
ek2gyyjo2e,29568,1
3ww4jygym3,5660,0
83wlkp2ame,22482,0
nbaqbdvv2e,135,3
eko426xp2n,2407,1
e5lg2wxqgn,3650,0
3xq4vojodn,1825,0
3zaw5owgwn,19561,4
3o4o688y6e,1279,6
nvz9gy9623,3696,0
ny4yj4pw9n,10088,0
e5lqqdm6rn,1832,0
qnvxvd8kxe,3670,2
2ny2qooq93,2298,0
nbkgkpar9n,1045,4
nm8dz47dd3,1123,1
ekoy527vgn,5661,0
nglqzabmze,8432,2
3arkg2dbbn,958,34
ny7y8w9byn,637,0
39rlydd6d3,1889,0
nqqoaqrjmn,7992,2
nbkyqv6axn,2144,3
384ml55qdn,14480,1
ped9ld25g3,1568,5
nykaj6abd3,2762,2
34jy447yk3,3717,3
37blqx2qwe,292,10
3a96okbybn,17232,3
nm9zzpxmde,4706,2
3xy2m68xle,17601,0
34ga74dvj3,5576,3
edg28qd2ze,2899,0
wnb82wp69n,2379,10
362w2x7mon,3953,3
3a564pakme,4796,10
39wdy5bvgn,632,6
ek46jvywd3,3218,0
edo5rbqq43,1836,5
nyq9jz44z3,735,2
3pmjwmzd93,17454,1
ngga678bzn,1489,0
