"sku","cost_price","montreal"
3pgoovz5z3,1206,3
34kzybmv4e,1516,0
3xqz6qazln,8034,0
73ovroz99e,1405,0
z37wxjkpwe,7004,1
38jjdaovon,785,11
3jvmdaoq63,541,6
369dlm2lx3,2992,60
erbvw744j3,9683,4
362w2x7mon,3953,3
nyawxxl7ln,3912,0
nvp5zdp42n,20026,1
3z7ro2oz7n,863,4
3lmq8r6o7e,6505,0
3p7j79xbb3,3088,1
3pgo66az93,3629,2
379qraar9n,17734,1
nmzjlddkd3,13219,1
e5g2qpbob3,217,41
nvbvykzdx3,14146,4
3z7zvgpx8n,565,55
nyyrqldoyn,133,0
ny7my2k5dn,2039,3
3zp76xyrjn,299,37
3pxwwa4g8n,6823,0
3wwq8rdqb3,2927,60
3wylrlo8yn,5418,2
39xmapjk73,624,0
nqlprqbxm3,9147,1
erdmj2dw9n,7856,0
nvzrr4k4b3,28594,1
nm2vyyjbk3,3245,2
34k24267me,2656,6
34ql6mg2me,451,12
39glqwlgye,5590,3
3orp75r463,157,3
9ekxqg88dn,10808,0
38jk75q45n,3289,0
ergpwaxajn,5234,2
nbaym8v2xe,2597,0
38k5damqp3,3052,0
38v44w42on,10056,2
3jxgvwymon,7361,1
nggqpxy9bn,17406,1
37469zvpx3,6994,4
345x78kyye,2414,11
39gm4xlb7e,1556,18
3woyqg6pbe,1820,0
36v2a5kdke,5390,0
3884bdwjo3,13023,1
qe2pdvprj3,3770,0
3jmk9yagp3,4920,0
nbmkpbwqae,9942,1
3627vzjvxn,2772,1
l34zx986me,1117,0
3aq5p47ame,2278,0
39jwbq22ye,4771,1
3754b9kxve,22899,18
3l7zgr55ye,775,12
wnmwo2wvd3,11559,0
ekqbmwgz5e,2698,1
e5pkbjbj93,4782,6
nqlrl62po3,1948,0
3wywa77qbn,9847,2
ng9rd8kkpe,2063,0
er6rrwk5je,10681,0
38j5b752dn,2850,0
3jr96m956n,357,2
edyxjx572e,745,0
erqkxwoql3,11202,1
edo8d8bxg3,4366,0
wnbpvw9j2e,1841,4
375gzgr6xe,2264,5
nyxmo6lm9e,328,986
374jq7kqp3,5922,2
nm46mp8vxn,862,0
3685qbzm8n,757,2
